




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (1146)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
positive regulation of angiogenesis (GO:0045766)	160	21	8.90	+	2.36	6.38E-04	1.75E-02
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	4	16.75	-	.24	6.48E-04	1.77E-02
response to organonitrogen compound (GO:0010243)	1014	84	56.42	+	1.49	6.47E-04	1.77E-02
positive regulation of neuron differentiation (GO:0045666)	95	15	5.29	+	2.84	6.55E-04	1.78E-02
developmental process involved in reproduction (GO:0003006)	974	81	54.20	+	1.49	6.66E-04	1.81E-02
cell junction assembly (GO:0034329)	276	31	15.36	+	2.02	6.70E-04	1.81E-02
regulation of hormone secretion (GO:0046883)	276	31	15.36	+	2.02	6.70E-04	1.82E-02
regulation of muscle contraction (GO:0006937)	161	21	8.96	+	2.34	6.79E-04	1.83E-02
cardiac conduction (GO:0061337)	85	14	4.73	+	2.96	6.78E-04	1.83E-02
regulation of coagulation (GO:0050818)	75	13	4.17	+	3.12	6.85E-04	1.84E-02
olfactory bulb development (GO:0021772)	30	8	1.67	+	4.79	6.91E-04	1.86E-02
response to glucocorticoid (GO:0051384)	149	20	8.29	+	2.41	7.09E-04	1.90E-02
ribosome biogenesis (GO:0042254)	329	5	18.31	-	.27	7.23E-04	1.94E-02
response to wounding (GO:0009611)	543	51	30.22	+	1.69	7.27E-04	1.94E-02
nucleocytoplasmic transport (GO:0006913)	261	3	14.52	-	.21	7.34E-04	1.96E-02
positive regulation of programmed cell death (GO:0043068)	575	53	32.00	+	1.66	7.41E-04	1.97E-02
rRNA processing (GO:0006364)	262	3	14.58	-	.21	7.40E-04	1.97E-02
response to hypoxia (GO:0001666)	347	36	19.31	+	1.86	7.44E-04	1.98E-02
Unclassified (UNCLASSIFIED)	2744	114	152.69	-	.75	7.47E-04	1.98E-02
biological_process (GO:0008150)	17851	1032	993.31	+	1.04	7.47E-04	1.98E-02
cardiac septum morphogenesis (GO:0060411)	66	12	3.67	+	3.27	7.52E-04	1.99E-02
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	29	14.36	+	2.02	7.62E-04	2.00E-02
regulation of excitatory synapse assembly (GO:1904889)	16	6	.89	+	6.74	7.61E-04	2.00E-02
nuclear transport (GO:0051169)	264	3	14.69	-	.20	7.59E-04	2.00E-02
regulation of glutamate secretion (GO:0014048)	16	6	.89	+	6.74	7.61E-04	2.00E-02
regulation of cardiac muscle cell differentiation (GO:2000725)	16	6	.89	+	6.74	7.61E-04	2.01E-02
somatic stem cell division (GO:0048103)	10	5	.56	+	8.99	7.77E-04	2.03E-02
forebrain regionalization (GO:0021871)	23	7	1.28	+	5.47	7.76E-04	2.03E-02
negative regulation of glutamate secretion (GO:0014050)	5	4	.28	+	14.38	7.82E-04	2.04E-02
regulation of RNA metabolic process (GO:0051252)	3782	257	210.45	+	1.22	7.81E-04	2.04E-02
regulation of cell cycle G2/M phase transition (GO:1902749)	222	2	12.35	-	.16	8.05E-04	2.09E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	434	9	24.15	-	.37	8.06E-04	2.09E-02
organic cyclic compound catabolic process (GO:1901361)	466	10	25.93	-	.39	8.10E-04	2.10E-02
aromatic compound catabolic process (GO:0019439)	438	9	24.37	-	.37	8.17E-04	2.11E-02
regulation of protein kinase activity (GO:0045859)	802	69	44.63	+	1.55	8.20E-04	2.12E-02
mitochondrion organization (GO:0007005)	468	10	26.04	-	.38	8.23E-04	2.12E-02
regulation of peptide hormone secretion (GO:0090276)	222	26	12.35	+	2.10	8.30E-04	2.13E-02
organic substance biosynthetic process (GO:1901576)	2803	117	155.97	-	.75	8.29E-04	2.13E-02
regulation of body fluid levels (GO:0050878)	494	47	27.49	+	1.71	8.38E-04	2.15E-02
tRNA metabolic process (GO:0006399)	190	1	10.57	-	.09	8.45E-04	2.15E-02
eye morphogenesis (GO:0048592)	152	20	8.46	+	2.36	8.47E-04	2.15E-02
calcium ion transport (GO:0006816)	244	28	13.58	+	2.06	8.40E-04	2.15E-02
outflow tract morphogenesis (GO:0003151)	67	12	3.73	+	3.22	8.45E-04	2.15E-02
mesoderm formation (GO:0001707)	67	12	3.73	+	3.22	8.45E-04	2.16E-02
muscle tissue morphogenesis (GO:0060415)	67	12	3.73	+	3.22	8.45E-04	2.16E-02
positive regulation of transferase activity (GO:0051347)	693	61	38.56	+	1.58	8.62E-04	2.19E-02
gliogenesis (GO:0042063)	223	26	12.41	+	2.10	8.65E-04	2.19E-02
neuropeptide signaling pathway (GO:0007218)	109	16	6.07	+	2.64	8.89E-04	2.25E-02
response to decreased oxygen levels (GO:0036293)	361	37	20.09	+	1.84	8.95E-04	2.26E-02
mesenchyme development (GO:0060485)	224	26	12.46	+	2.09	9.02E-04	2.27E-02
immunoglobulin production (GO:0002377)	138	0	7.68	-	 < 0.01	9.01E-04	2.27E-02
negative regulation of muscle cell differentiation (GO:0051148)	58	11	3.23	+	3.41	9.10E-04	2.29E-02
cellular response to oxygen-containing compound (GO:1901701)	1075	87	59.82	+	1.45	9.12E-04	2.29E-02
production of molecular mediator of immune response (GO:0002440)	141	0	7.85	-	 < 0.01	9.22E-04	2.31E-02
response to abiotic stimulus (GO:0009628)	1175	94	65.38	+	1.44	9.21E-04	2.31E-02
RNA 3'-end processing (GO:0031123)	142	0	7.90	-	 < 0.01	9.38E-04	2.34E-02
mitochondrial gene expression (GO:0140053)	142	0	7.90	-	 < 0.01	9.38E-04	2.34E-02
positive regulation of fibroblast proliferation (GO:0048146)	49	10	2.73	+	3.67	9.46E-04	2.35E-02
cellular response to stress (GO:0033554)	1741	66	96.88	-	.68	9.48E-04	2.35E-02
muscle system process (GO:0003012)	288	31	16.03	+	1.93	9.50E-04	2.35E-02
BMP signaling pathway (GO:0030509)	78	13	4.34	+	3.00	9.45E-04	2.35E-02
regulation of hormone levels (GO:0010817)	538	50	29.94	+	1.67	9.66E-04	2.39E-02
positive regulation of ion transmembrane transporter activity (GO:0032414)	110	16	6.12	+	2.61	9.70E-04	2.40E-02
establishment of protein localization (GO:0045184)	1397	50	77.74	-	.64	9.76E-04	2.41E-02
stabilization of membrane potential (GO:0030322)	17	6	.95	+	6.34	9.85E-04	2.42E-02
olfactory lobe development (GO:0021988)	32	8	1.78	+	4.49	9.89E-04	2.42E-02
positive regulation of voltage-gated potassium channel activity (GO:1903818)	17	6	.95	+	6.34	9.85E-04	2.42E-02
regulation of smooth muscle cell differentiation (GO:0051150)	32	8	1.78	+	4.49	9.89E-04	2.42E-02
regulation of odontogenesis (GO:0042481)	17	6	.95	+	6.34	9.85E-04	2.42E-02
apoptotic process (GO:0006915)	913	76	50.80	+	1.50	9.97E-04	2.44E-02
appendage development (GO:0048736)	175	22	9.74	+	2.26	1.01E-03	2.45E-02
neurotransmitter transport (GO:0006836)	142	19	7.90	+	2.40	1.01E-03	2.45E-02
limb development (GO:0060173)	175	22	9.74	+	2.26	1.01E-03	2.45E-02
regulation of sodium ion transport (GO:0002028)	89	14	4.95	+	2.83	1.01E-03	2.45E-02
cardiac muscle tissue morphogenesis (GO:0055008)	59	11	3.28	+	3.35	1.03E-03	2.49E-02
positive regulation of synapse assembly (GO:0051965)	59	11	3.28	+	3.35	1.03E-03	2.50E-02
proteolysis (GO:0006508)	1306	46	72.67	-	.63	1.05E-03	2.52E-02
multicellular organismal signaling (GO:0035637)	128	18	7.12	+	2.53	1.05E-03	2.52E-02
import into cell (GO:0098657)	176	22	9.79	+	2.25	1.04E-03	2.52E-02
gland morphogenesis (GO:0022612)	100	15	5.56	+	2.70	1.05E-03	2.52E-02
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)	111	16	6.18	+	2.59	1.06E-03	2.53E-02
mesoderm morphogenesis (GO:0048332)	69	12	3.84	+	3.13	1.06E-03	2.54E-02
response to retinoic acid (GO:0032526)	111	16	6.18	+	2.59	1.06E-03	2.54E-02
semi-lunar valve development (GO:1905314)	41	9	2.28	+	3.94	1.08E-03	2.58E-02
biosynthetic process (GO:0009058)	2865	121	159.42	-	.76	1.09E-03	2.60E-02
epithelial cell proliferation (GO:0050673)	90	14	5.01	+	2.80	1.11E-03	2.65E-02
regulation of neural precursor cell proliferation (GO:2000177)	90	14	5.01	+	2.80	1.11E-03	2.65E-02
innate immune response (GO:0045087)	848	26	47.19	-	.55	1.13E-03	2.68E-02
mRNA catabolic process (GO:0006402)	215	2	11.96	-	.17	1.15E-03	2.72E-02
complement activation (GO:0006956)	177	1	9.85	-	.10	1.16E-03	2.74E-02
regulation of synaptic vesicle exocytosis (GO:2000300)	60	11	3.34	+	3.29	1.16E-03	2.75E-02
response to metal ion (GO:0010038)	379	38	21.09	+	1.80	1.18E-03	2.78E-02
cardiac ventricle morphogenesis (GO:0003208)	70	12	3.90	+	3.08	1.18E-03	2.79E-02
negative regulation of neuron differentiation (GO:0045665)	70	12	3.90	+	3.08	1.18E-03	2.79E-02
protein modification by small protein conjugation or removal (GO:0070647)	1035	34	57.59	-	.59	1.19E-03	2.79E-02
morphogenesis of embryonic epithelium (GO:0016331)	145	19	8.07	+	2.35	1.20E-03	2.81E-02
positive regulation of apoptotic process (GO:0043065)	560	51	31.16	+	1.64	1.22E-03	2.86E-02
cellular component biogenesis (GO:0044085)	2754	116	153.25	-	.76	1.23E-03	2.89E-02
cellular amide metabolic process (GO:0043603)	820	25	45.63	-	.55	1.24E-03	2.90E-02
positive regulation of odontogenesis (GO:0042482)	6	4	.33	+	11.98	1.25E-03	2.91E-02
cerebellum morphogenesis (GO:0021587)	42	9	2.34	+	3.85	1.25E-03	2.91E-02
negative regulation of synapse assembly (GO:0051964)	6	4	.33	+	11.98	1.25E-03	2.91E-02
response to ketone (GO:1901654)	200	24	11.13	+	2.16	1.26E-03	2.92E-02
paraxial mesoderm development (GO:0048339)	18	6	1.00	+	5.99	1.25E-03	2.92E-02
positive regulation of protein kinase B signaling (GO:0051897)	181	22	10.07	+	2.18	1.30E-03	3.01E-02
regulation of cell-substrate adhesion (GO:0010810)	218	25	12.13	+	2.06	1.31E-03	3.02E-02
phenol-containing compound metabolic process (GO:0018958)	92	14	5.12	+	2.73	1.34E-03	3.10E-02
activation of protein kinase B activity (GO:0032148)	34	8	1.89	+	4.23	1.38E-03	3.19E-02
cerebral cortex radially oriented cell migration (GO:0021799)	34	8	1.89	+	4.23	1.38E-03	3.19E-02
negative regulation of blood coagulation (GO:0030195)	52	10	2.89	+	3.46	1.40E-03	3.22E-02
response to axon injury (GO:0048678)	52	10	2.89	+	3.46	1.40E-03	3.23E-02
regulation of AMPA receptor activity (GO:2000311)	26	7	1.45	+	4.84	1.42E-03	3.24E-02
pharyngeal system development (GO:0060037)	26	7	1.45	+	4.84	1.42E-03	3.25E-02
cardiac muscle tissue development (GO:0048738)	168	21	9.35	+	2.25	1.43E-03	3.25E-02
heterocycle catabolic process (GO:0046700)	417	9	23.20	-	.39	1.42E-03	3.25E-02
cerebellar cortex formation (GO:0021697)	26	7	1.45	+	4.84	1.42E-03	3.25E-02
positive regulation of muscle contraction (GO:0045933)	43	9	2.39	+	3.76	1.44E-03	3.29E-02
cellular nitrogen compound catabolic process (GO:0044270)	423	9	23.54	-	.38	1.45E-03	3.30E-02
regulation of potassium ion transmembrane transporter activity (GO:1901016)	62	11	3.45	+	3.19	1.47E-03	3.32E-02
negative regulation of synaptic transmission (GO:0050805)	62	11	3.45	+	3.19	1.47E-03	3.33E-02
cardioblast differentiation (GO:0010002)	12	5	.67	+	7.49	1.47E-03	3.33E-02
negative regulation of phosphorylation (GO:0042326)	395	39	21.98	+	1.77	1.48E-03	3.34E-02
protein metabolic process (GO:0019538)	4203	190	233.87	-	.81	1.49E-03	3.36E-02
regulation of cellular biosynthetic process (GO:0031326)	4163	277	231.65	+	1.20	1.55E-03	3.49E-02
regulation of exocytosis (GO:0017157)	207	24	11.52	+	2.08	1.55E-03	3.49E-02
feeding behavior (GO:0007631)	83	13	4.62	+	2.81	1.56E-03	3.51E-02
localization (GO:0051179)	5831	375	324.46	+	1.16	1.57E-03	3.53E-02
negative regulation of platelet activation (GO:0010544)	19	6	1.06	+	5.68	1.58E-03	3.54E-02
detection of external stimulus (GO:0009581)	137	18	7.62	+	2.36	1.60E-03	3.59E-02
regulation of cell cycle phase transition (GO:1901987)	522	13	29.05	-	.45	1.61E-03	3.59E-02
cerebellar cortex morphogenesis (GO:0021696)	35	8	1.95	+	4.11	1.62E-03	3.62E-02
positive regulation of epithelial cell migration (GO:0010634)	150	19	8.35	+	2.28	1.62E-03	3.62E-02
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	265	220.80	+	1.20	1.66E-03	3.69E-02
negative regulation of smooth muscle cell migration (GO:0014912)	27	7	1.50	+	4.66	1.71E-03	3.75E-02
detection of temperature stimulus (GO:0016048)	27	7	1.50	+	4.66	1.71E-03	3.76E-02
regulation of vascular associated smooth muscle cell migration (GO:1904752)	27	7	1.50	+	4.66	1.71E-03	3.76E-02
RNA modification (GO:0009451)	172	1	9.57	-	.10	1.70E-03	3.77E-02
behavioral fear response (GO:0001662)	27	7	1.50	+	4.66	1.71E-03	3.77E-02
viral gene expression (GO:0019080)	172	1	9.57	-	.10	1.70E-03	3.77E-02
negative regulation of amine transport (GO:0051953)	27	7	1.50	+	4.66	1.71E-03	3.78E-02
positive regulation of axonogenesis (GO:0050772)	84	13	4.67	+	2.78	1.72E-03	3.78E-02
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	2	11.80	-	.17	1.70E-03	3.78E-02
regulation of endocytosis (GO:0030100)	210	24	11.69	+	2.05	1.74E-03	3.82E-02
import across plasma membrane (GO:0098739)	139	18	7.73	+	2.33	1.80E-03	3.94E-02
cellular biosynthetic process (GO:0044249)	2715	115	151.08	-	.76	1.83E-03	4.01E-02
excitatory postsynaptic potential (GO:0060079)	64	11	3.56	+	3.09	1.83E-03	4.01E-02
negative regulation of protein phosphorylation (GO:0001933)	353	35	19.64	+	1.78	1.84E-03	4.03E-02
organonitrogen compound metabolic process (GO:1901564)	5246	245	291.91	-	.84	1.86E-03	4.05E-02
nitrogen compound transport (GO:0071705)	1708	66	95.04	-	.69	1.86E-03	4.05E-02
regulation of protein kinase B signaling (GO:0051896)	235	26	13.08	+	1.99	1.86E-03	4.06E-02
mesenchymal-epithelial cell signaling (GO:0060638)	7	4	.39	+	10.27	1.88E-03	4.06E-02
negative regulation of Wnt signaling pathway involved in heart development (GO:0003308)	7	4	.39	+	10.27	1.88E-03	4.07E-02
regulation of protein modification process (GO:0031399)	1654	123	92.04	+	1.34	1.87E-03	4.07E-02
AV node cell action potential (GO:0086016)	7	4	.39	+	10.27	1.88E-03	4.07E-02
AV node cell to bundle of His cell signaling (GO:0086027)	7	4	.39	+	10.27	1.88E-03	4.08E-02
viral process (GO:0016032)	444	10	24.71	-	.40	1.89E-03	4.08E-02
glandular epithelial cell differentiation (GO:0002067)	45	9	2.50	+	3.59	1.90E-03	4.08E-02
negative regulation of neuron projection development (GO:0010977)	140	18	7.79	+	2.31	1.91E-03	4.09E-02
hindbrain morphogenesis (GO:0021575)	45	9	2.50	+	3.59	1.90E-03	4.09E-02
female sex differentiation (GO:0046660)	107	15	5.95	+	2.52	1.91E-03	4.09E-02
regulation of interleukin-6 production (GO:0032675)	140	18	7.79	+	2.31	1.91E-03	4.09E-02
regulation of protein secretion (GO:0050708)	283	30	15.75	+	1.91	1.92E-03	4.11E-02
regulation of postsynaptic density assembly (GO:0099151)	13	5	.72	+	6.91	1.94E-03	4.14E-02
tongue development (GO:0043586)	20	6	1.11	+	5.39	1.96E-03	4.14E-02
negative regulation of amino acid transport (GO:0051956)	13	5	.72	+	6.91	1.94E-03	4.15E-02
uterus development (GO:0060065)	20	6	1.11	+	5.39	1.96E-03	4.15E-02
regulation of skeletal muscle cell differentiation (GO:2001014)	20	6	1.11	+	5.39	1.96E-03	4.16E-02
response to oxygen levels (GO:0070482)	388	38	21.59	+	1.76	1.96E-03	4.16E-02
dorsal spinal cord development (GO:0021516)	20	6	1.11	+	5.39	1.96E-03	4.16E-02
regulation of macromolecule biosynthetic process (GO:0010556)	3999	266	222.52	+	1.20	1.95E-03	4.16E-02
substrate-dependent cell migration (GO:0006929)	20	6	1.11	+	5.39	1.96E-03	4.17E-02
RNA export from nucleus (GO:0006405)	124	0	6.90	-	 < 0.01	2.00E-03	4.23E-02
ribonucleoprotein complex export from nucleus (GO:0071426)	126	0	7.01	-	 < 0.01	2.04E-03	4.26E-02
male sex differentiation (GO:0046661)	161	20	8.96	+	2.23	2.02E-03	4.26E-02
regulation of cardiocyte differentiation (GO:1905207)	28	7	1.56	+	4.49	2.04E-03	4.26E-02
positive regulation of neuron projection development (GO:0010976)	161	20	8.96	+	2.23	2.02E-03	4.27E-02
sensory perception of temperature stimulus (GO:0050951)	28	7	1.56	+	4.49	2.04E-03	4.27E-02
heart valve development (GO:0003170)	65	11	3.62	+	3.04	2.04E-03	4.27E-02
regulation of response to external stimulus (GO:0032101)	1199	93	66.72	+	1.39	2.03E-03	4.27E-02
behavioral defense response (GO:0002209)	28	7	1.56	+	4.49	2.04E-03	4.27E-02
ribonucleoprotein complex localization (GO:0071166)	127	0	7.07	-	 < 0.01	2.07E-03	4.30E-02
regulation of striated muscle cell differentiation (GO:0051153)	86	13	4.79	+	2.72	2.07E-03	4.31E-02
translational elongation (GO:0006414)	127	0	7.07	-	 < 0.01	2.07E-03	4.31E-02
endothelium development (GO:0003158)	97	14	5.40	+	2.59	2.09E-03	4.35E-02
positive regulation of phospholipase C activity (GO:0010863)	46	9	2.56	+	3.52	2.17E-03	4.48E-02
negative chemotaxis (GO:0050919)	46	9	2.56	+	3.52	2.17E-03	4.49E-02
positive regulation of signaling receptor activity (GO:2000273)	46	9	2.56	+	3.52	2.17E-03	4.49E-02
aortic valve development (GO:0003176)	37	8	2.06	+	3.89	2.20E-03	4.53E-02
negative regulation of wound healing (GO:0061045)	76	12	4.23	+	2.84	2.20E-03	4.54E-02
roof of mouth development (GO:0060021)	87	13	4.84	+	2.69	2.27E-03	4.67E-02
negative regulation of coagulation (GO:0050819)	56	10	3.12	+	3.21	2.28E-03	4.69E-02
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	114	85.02	+	1.34	2.30E-03	4.72E-02
DNA packaging (GO:0006323)	202	2	11.24	-	.18	2.35E-03	4.82E-02
stem cell division (GO:0017145)	21	6	1.17	+	5.13	2.41E-03	4.91E-02
neuron projection fasciculation (GO:0106030)	21	6	1.17	+	5.13	2.41E-03	4.92E-02
organelle assembly (GO:0070925)	796	25	44.29	-	.56	2.40E-03	4.92E-02
regulation of biosynthetic process (GO:0009889)	4226	279	235.15	+	1.19	2.40E-03	4.92E-02
regulation of protein localization to synapse (GO:1902473)	21	6	1.17	+	5.13	2.41E-03	4.92E-02
axonal fasciculation (GO:0007413)	21	6	1.17	+	5.13	2.41E-03	4.93E-02
